dim,ts_name,best_value,steps_to_best_value
kroA100,E d,145311.0,2025
kroA100,F d,139991.0,505
kroA100,G d,141966.0,242
kroA100,G2 d,142411.0,2150
kroA100,G3_1 d,137428.0,325
kroA100,G4_1 d,135630.0,311
kroA100,G6_V1_3 d,140815.0,242
kroA100,G6_V0_1 d,141137.0,1816
kroA100,E s,143248.0,1769
kroA100,F s,128951.0,2226
kroA100,G s,137710.0,1035
kroA100,G2 s,137371.0,450
kroA100,G3_1 s,142218.0,2230
kroA100,G4_1 s,142761.0,1415
kroA100,G6_V1_3 s,145550.0,1128
kroA100,G6_V0_1 s,141611.0,845
kroA100,Linear,141541,13542
kroA100,GeometricV1,140312,14511
kroA100,GeometricV2,141657,14607
kroA100,LogarithmicV1,141444,20025
kroA100,LogarithmicV2,143277,13526
kroB200,E d,292813.0,2273
kroB200,F d,280362.0,2024
kroB200,G d,285578.0,434
kroB200,G2 d,291564.0,4489
kroB200,G3_1 d,290169.0,2492
kroB200,G4_1 d,293880.0,3445
kroB200,G6_V1_3 d,293330.99999999994,598
kroB200,G6_V0_1 d,291742.0,1583
kroB200,E s,293183.0,996
kroB200,F s,289632.0,74
kroB200,G s,289596.99999999994,35
kroB200,G2 s,286175.0,4202
kroB200,G3_1 s,287673.0,3780
kroB200,G4_1 s,287056.0,4108
kroB200,G6_V1_3 s,290061.99999999994,810
kroB200,G6_V0_1 s,285103.99999999994,2361
kroB200,Linear,286560,26316
kroB200,GeometricV1,278357,41256
kroB200,GeometricV2,292642,29637
kroB200,LogarithmicV1,284776,20908
kroB200,LogarithmicV2,291458,33973
kroA100,E d,139529.0,1536
kroA100,F d,143368.0,1031
kroA100,G d,138836.0,18
kroA100,G2 d,142164.0,550
kroA100,G3_1 d,139108.0,830
kroA100,G4_1 d,138726.0,2016
kroA100,G6_V1_3 d,141418.0,957
kroA100,G6_V0_1 d,143081.0,1307
kroA100,E s,138217.0,1121
kroA100,F s,135979.0,1175
kroA100,G s,143230.0,843
kroA100,G2 s,140468.0,574
kroA100,G3_1 s,143008.0,170
kroA100,G4_1 s,141024.0,1222
kroA100,G6_V1_3 s,135827.0,431
kroA100,G6_V0_1 s,142395.0,829
