dim,ts_name,best_value,steps_to_best_value
kroB200,E d,290986.99999999994,3745
kroB200,F d,291837.99999999994,4807
kroB200,G d,293044.0,2407
kroB200,G2 d,286598.99999999994,2729
kroB200,G3_1 d,295307.0,666
kroB200,G4_1 d,284406.0,4092
kroB200,G6_V1_3 d,292424.0,1896
kroB200,G6_V0_1 d,289646.0,2088
kroB200,E s,290505.0,3805
kroB200,F s,289673.99999999994,4033
kroB200,G s,287969.0,2940
kroB200,G2 s,293443.0,3509
kroB200,G3_1 s,282896.0,1159
kroB200,G4_1 s,280606.0,4283
kroB200,G6_V1_3 s,287662.0,2502
kroB200,G6_V0_1 s,288695.0,307
kroB200,Linear,285929,13180
kroB200,GeometricV1,289442,31692
kroB200,GeometricV2,290177,40983
kroB200,LogarithmicV1,287982,48985
kroB200,LogarithmicV2,290498,1613
kroA100,E d,142872.0,274
kroA100,F d,137356.0,1131
kroA100,G d,140724.0,56
kroA100,G2 d,143725.0,1103
kroA100,G3_1 d,135225.0,2026
kroA100,G4_1 d,143356.0,1923
kroA100,G6_V1_3 d,136268.0,1902
kroA100,G6_V0_1 d,139671.0,487
kroA100,E s,140526.0,906
kroA100,F s,140568.0,1865
kroA100,G s,140156.0,1148
kroA100,G2 s,142034.0,2123
kroA100,G3_1 s,142594.0,1163
kroA100,G4_1 s,138489.0,1213
kroA100,G6_V1_3 s,137811.0,195
kroA100,G6_V0_1 s,145367.0,262
kroA100,Linear,143576,4602
kroA100,GeometricV1,140201,22132
kroA100,GeometricV2,141197,2518
kroA100,LogarithmicV1,140155,18942
kroA100,LogarithmicV2,140690,6524
kroA100,E d,137578.0,1885
kroA100,F d,139546.0,1978
kroA100,G d,140712.0,502
kroA100,G2 d,135595.0,71
kroA100,G3_1 d,138405.0,2114
kroA100,G4_1 d,140555.0,1500
kroA100,G6_V1_3 d,139428.0,699
kroA100,G6_V0_1 d,139613.0,2020
kroA100,E s,141583.0,1087
kroA100,F s,135863.0,1022
kroA100,G s,134855.0,1278
kroA100,G2 s,139848.0,952
kroA100,G3_1 s,134712.0,1782
kroA100,G4_1 s,138187.0,884
kroA100,G6_V1_3 s,138351.0,211
kroA100,G6_V0_1 s,140789.0,525
kroA100,Linear,133359,13845
kroA100,GeometricV1,141946,950
kroA100,GeometricV2,142090,19114
kroA100,LogarithmicV1,141422,5567
kroA100,LogarithmicV2,139065,6623
kroB200,E d,296236.0,4219
kroB200,F d,291205.0,4327
kroB200,G d,285551.0,6
kroB200,G2 d,291165.0,3402
kroB200,G3_1 d,289009.0,2930
kroB200,G4_1 d,289579.0,1740
kroB200,G6_V1_3 d,290014.0,4241
kroB200,G6_V0_1 d,289864.0,1730
kroB200,E s,292389.0,2247
kroB200,F s,293434.99999999994,3051
kroB200,G s,288734.99999999994,3316
kroB200,G2 s,287550.99999999994,159
kroB200,G3_1 s,291332.0,963
kroB200,G4_1 s,289593.0,2228
kroB200,G6_V1_3 s,286376.0,1114
kroB200,G6_V0_1 s,291150.0,2334
kroB200,Linear,288303,10853
kroB200,GeometricV1,293132,21854
kroB200,GeometricV2,286484,40523
kroB200,LogarithmicV1,289961,11239
kroB200,LogarithmicV2,286675,33732
kroA150,E d,217395.99999999997,2287
kroA150,F d,213946.99999999997,1502
kroA150,G d,211308.0,1249
kroA150,G2 d,219108.0,2669
kroA150,G3_1 d,222813.99999999997,2969
kroA150,G4_1 d,223582.99999999997,2801
kroA150,G6_V1_3 d,220041.99999999997,2511
kroA150,G6_V0_1 d,217495.99999999997,1526
kroA150,E s,213783.99999999997,2597
kroA150,F s,223649.99999999997,1831
kroA150,G s,221542.99999999997,1132
kroA150,G2 s,221385.0,539
kroA150,G3_1 s,216273.99999999997,2228
kroA150,G4_1 s,222901.99999999997,3051
kroA150,G6_V1_3 s,219761.0,2510
kroA150,G6_V0_1 s,217509.0,1871
kroA150,Linear,215823,23808
kroA150,GeometricV1,219703,24753
